r,run,hops,n,p,q,grid_type
0,601,36,100,1,1,flat
0,602,12,100,1,1,flat
0,603,19,100,1,1,flat
0,604,36,100,1,1,flat
0,605,22,100,1,1,flat
0,606,19,100,1,1,flat
0,607,12,100,1,1,flat
0,608,47,100,1,1,flat
0,609,17,100,1,1,flat
0,610,4,100,1,1,flat
0,611,29,100,1,1,flat
0,612,38,100,1,1,flat
0,613,26,100,1,1,flat
0,614,20,100,1,1,flat
0,615,27,100,1,1,flat
0,616,31,100,1,1,flat
0,617,17,100,1,1,flat
0,618,18,100,1,1,flat
0,619,38,100,1,1,flat
0,620,19,100,1,1,flat
0,621,35,100,1,1,flat
0,622,15,100,1,1,flat
0,623,33,100,1,1,flat
0,624,25,100,1,1,flat
0,625,26,100,1,1,flat
0,626,15,100,1,1,flat
0,627,12,100,1,1,flat
0,628,32,100,1,1,flat
0,629,64,100,1,1,flat
0,630,26,100,1,1,flat
0,631,21,100,1,1,flat
0,632,29,100,1,1,flat
0,633,19,100,1,1,flat
0,634,32,100,1,1,flat
0,635,15,100,1,1,flat
0,636,10,100,1,1,flat
0,637,22,100,1,1,flat
0,638,29,100,1,1,flat
0,639,52,100,1,1,flat
0,640,30,100,1,1,flat
0,641,28,100,1,1,flat
0,642,26,100,1,1,flat
0,643,21,100,1,1,flat
0,644,23,100,1,1,flat
0,645,22,100,1,1,flat
0,646,23,100,1,1,flat
0,647,17,100,1,1,flat
0,648,16,100,1,1,flat
0,649,33,100,1,1,flat
0,650,14,100,1,1,flat
0,651,13,100,1,1,flat
0,652,32,100,1,1,flat
0,653,23,100,1,1,flat
0,654,10,100,1,1,flat
0,655,28,100,1,1,flat
0,656,12,100,1,1,flat
0,657,27,100,1,1,flat
0,658,21,100,1,1,flat
0,659,33,100,1,1,flat
0,660,32,100,1,1,flat
0,661,4,100,1,1,flat
0,662,33,100,1,1,flat
0,663,14,100,1,1,flat
0,664,21,100,1,1,flat
0,665,14,100,1,1,flat
0,666,20,100,1,1,flat
0,667,21,100,1,1,flat
0,668,19,100,1,1,flat
0,669,13,100,1,1,flat
0,670,13,100,1,1,flat
0,671,27,100,1,1,flat
0,672,25,100,1,1,flat
0,673,31,100,1,1,flat
0,674,23,100,1,1,flat
0,675,21,100,1,1,flat
0,676,43,100,1,1,flat
0,677,22,100,1,1,flat
0,678,20,100,1,1,flat
0,679,16,100,1,1,flat
0,680,6,100,1,1,flat
0,681,22,100,1,1,flat
0,682,31,100,1,1,flat
0,683,14,100,1,1,flat
0,684,22,100,1,1,flat
0,685,3,100,1,1,flat
0,686,15,100,1,1,flat
0,687,28,100,1,1,flat
0,688,29,100,1,1,flat
0,689,17,100,1,1,flat
0,690,20,100,1,1,flat
0,691,22,100,1,1,flat
0,692,21,100,1,1,flat
0,693,13,100,1,1,flat
0,694,28,100,1,1,flat
0,695,25,100,1,1,flat
0,696,11,100,1,1,flat
